ensembl_gene_id,removed,entrezgene_id,hgnc_symbol,gene_biotype,chromosome_name,start_position,end_position
ENSG00000273443,not protein coding,NA,,lncRNA,1,1062208,1063288
ENSG00000285812,not protein coding,NA,,lncRNA,1,1097585,1104598
ENSG00000223823,not protein coding,254099,LINC01342,lncRNA,1,1137017,1144056
ENSG00000207730,not protein coding,406984,MIR200B,miRNA,1,1167104,1167198
ENSG00000207607,not protein coding,406983,MIR200A,miRNA,1,1167863,1167952
ENSG00000198976,not protein coding,554210,MIR429,miRNA,1,1169005,1169087
ENSG00000272141,not protein coding,NA,,lncRNA,1,1169357,1170343
ENSG00000205231,not protein coding,100506376,TTLL10-AS1,lncRNA,1,1173056,1179555
ENSG00000184163,rare,388581,C1QTNF12,protein_coding,1,1242446,1246722
ENSG00000260179,not protein coding,NA,,lncRNA,1,1249777,1251334
ENSG00000230415,not protein coding,NA,LINC01786,lncRNA,1,1275223,1280420
ENSG00000278073,not protein coding,102465434,MIR6726,miRNA,1,1296110,1296170
ENSG00000283712,not protein coding,102465435,MIR6727,miRNA,1,1312502,1312566
ENSG00000240731,not protein coding,NA,,lncRNA,1,1317581,1318689
ENSG00000284372,not protein coding,102466740,MIR6808,miRNA,1,1339650,1339708
ENSG00000223663,not protein coding,NA,NDUFB4P8,processed_pseudogene,1,1378666,1379032
ENSG00000224870,not protein coding,148413,MRPL20-AS1,lncRNA,1,1399515,1402046
ENSG00000264293,not protein coding,NA,RN7SL657P,misc_RNA,1,1405460,1405752
ENSG00000272455,not protein coding,NA,MRPL20-DT,lncRNA,1,1409096,1410618
ENSG00000235098,rare,441869,ANKRD65,protein_coding,1,1418420,1421769
ENSG00000225905,not protein coding,NA,ANKRD65-AS1,lncRNA,1,1420245,1422691
ENSG00000205116,rare,643965,TMEM88B,protein_coding,1,1425871,1430255
ENSG00000225285,not protein coding,NA,LINC01770,lncRNA,1,1430539,1434573
ENSG00000284740,not protein coding,NA,,transcribed_unprocessed_pseudogene,1,1503582,1509351
ENSG00000215014,not protein coding,NA,,lncRNA,1,1574102,1577075
ENSG00000274481,not protein coding,NA,,processed_pseudogene,1,1583510,1583909
ENSG00000286989,not protein coding,NA,,lncRNA,1,1600314,1602703
ENSG00000272106,not protein coding,NA,,lncRNA,1,1613758,1615795
ENSG00000189409,rare,8510,MMP23B,protein_coding,1,1632163,1635263
ENSG00000272004,not protein coding,NA,,lncRNA,1,1659325,1662602
ENSG00000269737,not protein coding,NA,,transcribed_processed_pseudogene,1,1671990,1674397
ENSG00000215914,not protein coding,NA,MMP23A,unprocessed_pseudogene,1,1699942,1701782
ENSG00000268575,not protein coding,NA,,lncRNA,1,1702736,1737688
ENSG00000227775,not protein coding,NA,,transcribed_processed_pseudogene,1,1724512,1737251
ENSG00000215790,not protein coding,NA,SLC35E2A,transcribed_unprocessed_pseudogene,1,1734690,1739557
ENSG00000231050,not protein coding,105378949,GNB1-DT,lncRNA,1,1891223,1892726
ENSG00000169885,rare,163688,CALML6,protein_coding,1,1915108,1917296
ENSG00000142609,rare,85452,CFAP74,protein_coding,1,1921951,2003837
ENSG00000233542,not protein coding,NA,,lncRNA,1,2013213,2015639
ENSG00000187730,rare,2563,GABRD,protein_coding,1,2019329,2030758
ENSG00000226969,not protein coding,NA,PRKCZ-DT,lncRNA,1,2049203,2050070
ENSG00000271806,not protein coding,NA,,lncRNA,1,2141084,2145279
ENSG00000182873,not protein coding,100506504,PRKCZ-AS1,lncRNA,1,2181794,2184389
ENSG00000234396,not protein coding,NA,,lncRNA,1,2212523,2220738
ENSG00000287356,not protein coding,NA,,lncRNA,1,2315040,2323085
ENSG00000272161,not protein coding,NA,,lncRNA,1,2326201,2326693
ENSG00000269896,not protein coding,100129534,,transcribed_processed_pseudogene,1,2350414,2352820
ENSG00000272420,not protein coding,NA,,lncRNA,1,2363061,2363628
ENSG00000224387,not protein coding,NA,,lncRNA,1,2492300,2493258
ENSG00000229393,not protein coding,NA,,lncRNA,1,2493437,2494479
ENSG00000197921,rare,388585,HES5,protein_coding,1,2528745,2530263
ENSG00000272449,not protein coding,NA,,lncRNA,1,2530064,2547471
ENSG00000238164,not protein coding,NA,TNFRSF14-AS1,lncRNA,1,2549920,2557031
ENSG00000225931,not protein coding,NA,,TEC,1,2566410,2569888
ENSG00000228037,not protein coding,NA,,lncRNA,1,2581560,2584533
ENSG00000237058,not protein coding,NA,MMEL1-AS1,lncRNA,1,2632568,2636620
ENSG00000285945,not protein coding,NA,,lncRNA,1,2768091,2784733
ENSG00000283259,not protein coding,NA,,lncRNA,1,2773603,2776473
ENSG00000233234,not protein coding,NA,,lncRNA,1,2811850,2812692
ENSG00000287396,not protein coding,124903825,,lncRNA,1,2814056,2817767
ENSG00000231630,not protein coding,NA,,lncRNA,1,2814432,2814998
ENSG00000284745,not protein coding,NA,,lncRNA,1,2960658,2968707
ENSG00000169717,rare,140625,ACTRT2,protein_coding,1,3021467,3022903
ENSG00000177133,not protein coding,440556,PRDM16-DT,lncRNA,1,3059611,3069091
ENSG00000142611,rare,63976,PRDM16,protein_coding,1,3069168,3438621
ENSG00000283572,not protein coding,100422968,MIR4251,miRNA,1,3127975,3128035
ENSG00000226286,not protein coding,NA,,lncRNA,1,3132927,3133709
ENSG00000279839,not protein coding,NA,,TEC,1,3205988,3208664
ENSG00000272235,not protein coding,NA,,lncRNA,1,3306636,3310096
ENSG00000287828,not protein coding,NA,,lncRNA,1,3313052,3323149
ENSG00000286518,not protein coding,NA,,lncRNA,1,3367815,3373928
ENSG00000272088,not protein coding,NA,,lncRNA,1,3487246,3487627
ENSG00000207776,not protein coding,693135,MIR551A,miRNA,1,3560695,3560790
ENSG00000238260,not protein coding,NA,,lncRNA,1,3622857,3624786
ENSG00000227589,not protein coding,NA,TP73-AS3,lncRNA,1,3658938,3668772
ENSG00000235131,not protein coding,NA,TP73-AS2,lncRNA,1,3712200,3714298
ENSG00000227372,not protein coding,57212,TP73-AS1,transcribed_unitary_pseudogene,1,3735511,3747373
ENSG00000276189,not protein coding,NA,,misc_RNA,1,3736943,3737103
ENSG00000162592,rare,148870,CCDC27,protein_coding,1,3746460,3771645
ENSG00000235169,rare,388588,SMIM1,protein_coding,1,3772749,3775982
ENSG00000266075,not protein coding,NA,RN7SL574P,misc_RNA,1,3782815,3783111
ENSG00000272153,not protein coding,NA,,lncRNA,1,3785008,3785538
ENSG00000236423,not protein coding,100133612,LINC01134,lncRNA,1,3900347,3917225
ENSG00000233304,not protein coding,NA,LINC01346,lncRNA,1,3940486,3955262
ENSG00000226374,not protein coding,105376672,LINC01345,lncRNA,1,3944547,3949024
ENSG00000284668,not protein coding,NA,LINC02780,lncRNA,1,3976133,4012704
ENSG00000284703,not protein coding,NA,,lncRNA,1,4012921,4019508
ENSG00000229280,not protein coding,NA,EEF1DP6,processed_pseudogene,1,4175528,4175899
ENSG00000235054,not protein coding,284661,LINC01777,lncRNA,1,4412027,4424689
ENSG00000284694,not protein coding,NA,,lncRNA,1,4479131,4484375
ENSG00000227169,not protein coding,NA,,lncRNA,1,4551735,4552145
ENSG00000232596,not protein coding,NA,LINC01646,lncRNA,1,4571481,4594016
ENSG00000196581,rare,55966,AJAP1,protein_coding,1,4654609,4792534
ENSG00000287586,not protein coding,NA,,lncRNA,1,4730211,4734992
ENSG00000284739,not protein coding,NA,,lncRNA,1,4963954,4973298
ENSG00000284674,not protein coding,105376680,LINC02781,lncRNA,1,4973381,4981568
ENSG00000231510,not protein coding,NA,LINC02782,lncRNA,1,5086459,5090899
ENSG00000284616,not protein coding,NA,,lncRNA,1,5301928,5307394
ENSG00000284692,not protein coding,NA,,lncRNA,1,5478736,5493057
ENSG00000284666,not protein coding,NA,,lncRNA,1,5480787,5482028
ENSG00000260972,not protein coding,NA,,lncRNA,1,5492978,5494674
ENSG00000283356,not protein coding,NA,,unprocessed_pseudogene,1,5554747,5554881
ENSG00000236948,not protein coding,NA,,lncRNA,1,5561709,5668295
ENSG00000264341,not protein coding,NA,,miRNA,1,5564071,5564143
ENSG00000264101,not protein coding,100616421,MIR4689,miRNA,1,5862672,5862741
ENSG00000116254,rare,26038,CHD5,protein_coding,1,6101787,6180321
ENSG00000285629,rare,NA,,protein_coding,1,6159430,6197757
ENSG00000226944,not protein coding,102724450,RNF207-AS1,lncRNA,1,6204840,6205780
ENSG00000225077,not protein coding,NA,ICMT-DT,lncRNA,1,6234692,6239444
ENSG00000173673,rare,390992,HES3,protein_coding,1,6244179,6245578
ENSG00000271746,not protein coding,NA,,lncRNA,1,6393555,6394391
ENSG00000265392,not protein coding,100422975,MIR4252,miRNA,1,6429834,6429896
ENSG00000231868,not protein coding,NA,,lncRNA,1,6443034,6447006
ENSG00000253022,not protein coding,NA,RNU6-731P,snRNA,1,6540854,6540964
ENSG00000229519,not protein coding,NA,,processed_pseudogene,1,6547905,6548619
ENSG00000228750,not protein coding,NA,LINC01672,lncRNA,1,6724637,6730012
ENSG00000284744,not protein coding,NA,,lncRNA,1,6767954,6770038
ENSG00000237436,not protein coding,NA,CAMTA1-DT,lncRNA,1,6783892,6784843
ENSG00000227950,not protein coding,NA,,processed_pseudogene,1,6834333,6834618
ENSG00000237365,not protein coding,NA,,lncRNA,1,7008376,7014279
ENSG00000207056,not protein coding,NA,RNU1-8P,snRNA,1,7219360,7219524
ENSG00000237402,not protein coding,NA,CAMTA1-IT1,lncRNA,1,7368942,7370270
ENSG00000237728,not protein coding,102725193,CAMTA1-AS2,lncRNA,1,7382487,7389754
ENSG00000225126,not protein coding,NA,CAMTA1-AS1,lncRNA,1,7441096,7441554
ENSG00000270171,not protein coding,NA,,lncRNA,1,7693124,7694844
ENSG00000270035,not protein coding,NA,,lncRNA,1,7698303,7698872
ENSG00000269978,not protein coding,NA,,lncRNA,1,7700704,7700970
ENSG00000269925,not protein coding,NA,,lncRNA,1,7776383,7776775
ENSG00000236266,not protein coding,NA,,lncRNA,1,7810242,7827342
ENSG00000049247,rare,10911,UTS2,protein_coding,1,7843083,7853512
ENSG00000270330,not protein coding,NA,,processed_pseudogene,1,7942372,7942726
ENSG00000200344,not protein coding,NA,,misc_RNA,1,7982881,7982983
ENSG00000284747,not protein coding,NA,,lncRNA,1,7991134,8005312
ENSG00000284716,not protein coding,NA,,lncRNA,1,7998187,7999934
ENSG00000238290,not protein coding,NA,ERRFI1-DT,lncRNA,1,8026738,8122702
ENSG00000232848,not protein coding,NA,RPL7AP18,processed_pseudogene,1,8057245,8058463
ENSG00000229305,not protein coding,NA,,processed_pseudogene,1,8189824,8192770
ENSG00000227634,not protein coding,102724539,LINC01714,lncRNA,1,8201518,8215210
ENSG00000200975,not protein coding,NA,RNU1-7P,snRNA,1,8206434,8206597
ENSG00000233645,not protein coding,NA,,lncRNA,1,8218190,8220529
ENSG00000251977,not protein coding,NA,RNU6-991P,snRNA,1,8292157,8292263
ENSG00000252254,not protein coding,NA,,misc_RNA,1,8328067,8328179
ENSG00000232912,not protein coding,NA,RERE-AS1,lncRNA,1,8424645,8435013
ENSG00000221083,not protein coding,124900452,,snoRNA,1,8511795,8511919
ENSG00000270282,not protein coding,NA,,processed_pseudogene,1,8512653,8513021
ENSG00000234619,not protein coding,NA,RPL7P11,processed_pseudogene,1,8750430,8751087
ENSG00000224315,not protein coding,NA,RPL7P7,processed_pseudogene,1,8786211,8786913
ENSG00000222511,not protein coding,NA,,misc_RNA,1,8796571,8796673
ENSG00000226545,not protein coding,NA,,unprocessed_pseudogene,1,8798475,8799506
ENSG00000228423,not protein coding,NA,,lncRNA,1,8805860,8807051
ENSG00000229716,not protein coding,NA,RPL23AP19,processed_pseudogene,1,8831007,8831375
ENSG00000274258,not protein coding,102465436,MIR6728,miRNA,1,8866502,8866590
ENSG00000230679,not protein coding,100505975,ENO1-AS1,lncRNA,1,8878835,8879894
ENSG00000201725,not protein coding,NA,RNU6-304P,snRNA,1,8883427,8883533
ENSG00000238249,not protein coding,NA,HMGN2P17,processed_pseudogene,1,8893409,8894151
ENSG00000232208,not protein coding,NA,,processed_pseudogene,1,8907393,8907744
ENSG00000232663,not protein coding,NA,,processed_pseudogene,1,8909742,8909904
ENSG00000131686,rare,765,CA6,protein_coding,1,8945867,8975092
ENSG00000265141,not protein coding,NA,RN7SL451P,misc_RNA,1,8979576,8979874
ENSG00000197241,rare,155184,SLC2A7,protein_coding,1,9002973,9026423
ENSG00000252404,not protein coding,124900441,,scaRNA,1,9082696,9082879
ENSG00000228526,not protein coding,106614088,MIR34AHG,lncRNA,1,9148011,9198906
ENSG00000284357,not protein coding,407040,MIR34A,miRNA,1,9151668,9151777
ENSG00000234546,not protein coding,102724571,LNCTAM34A,lncRNA,1,9182004,9196284
ENSG00000284652,not protein coding,NA,,lncRNA,1,9421098,9422862
ENSG00000284693,not protein coding,100506022,LINC02606,lncRNA,1,9425094,9440564
ENSG00000252956,not protein coding,NA,RNA5SP40,rRNA_pseudogene,1,9437669,9437778
ENSG00000235263,not protein coding,NA,,lncRNA,1,9501092,9503471
ENSG00000231181,not protein coding,NA,,processed_pseudogene,1,9576427,9576985
ENSG00000179840,not protein coding,644997,PIK3CD-AS1,lncRNA,1,9652610,9654586
ENSG00000233268,not protein coding,NA,,processed_pseudogene,1,9660828,9662626
ENSG00000231789,not protein coding,101929074,PIK3CD-AS2,lncRNA,1,9672405,9687583
ENSG00000271264,not protein coding,NA,MZT1P1,processed_pseudogene,1,9780822,9781240
ENSG00000280113,not protein coding,NA,,TEC,1,9826289,9828271
ENSG00000223989,not protein coding,NA,,lncRNA,1,9848318,9850154
ENSG00000285701,not protein coding,NA,,lncRNA,1,9900614,9908034
ENSG00000228150,not protein coding,NA,,lncRNA,1,9942923,9949974
ENSG00000202415,not protein coding,NA,RN7SKP269,misc_RNA,1,9947318,9947636
ENSG00000283611,not protein coding,113391335,TMEM274P,unitary_pseudogene,1,9950572,9960787
ENSG00000265521,not protein coding,100847055,MIR5697,miRNA,1,9967381,9967458
ENSG00000241326,not protein coding,NA,,lncRNA,1,9983141,9984568
ENSG00000224340,not protein coding,NA,,processed_pseudogene,1,10054445,10054781
ENSG00000233623,not protein coding,NA,PGAM1P11,processed_pseudogene,1,10058671,10059648
ENSG00000201746,not protein coding,NA,RNU6-828P,snRNA,1,10163268,10163374
ENSG00000264881,not protein coding,NA,,miRNA,1,10227718,10227803
ENSG00000199562,not protein coding,NA,RNU6-37P,snRNA,1,10298966,10299072
ENSG00000264501,not protein coding,NA,RN7SL731P,misc_RNA,1,10306465,10306757
ENSG00000284735,not protein coding,NA,,lncRNA,1,10381906,10387150
ENSG00000284642,not protein coding,NA,,lncRNA,1,10395416,10397432
ENSG00000271989,not protein coding,NA,,lncRNA,1,10429881,10430677
ENSG00000251503,rare,100526739,CENPS-CORT,protein_coding,1,10430102,10452153
ENSG00000203469,not protein coding,NA,,lncRNA,1,10458555,10459338
ENSG00000287727,not protein coding,NA,,lncRNA,1,10612222,10616452
ENSG00000243267,not protein coding,NA,RN7SL614P,misc_RNA,1,10616836,10617115
ENSG00000272078,not protein coding,NA,,lncRNA,1,10639241,10654333
ENSG00000225158,not protein coding,NA,HSPE1P24,processed_pseudogene,1,10895761,10895998
ENSG00000215785,not protein coding,NA,CFL1P6,processed_pseudogene,1,10990978,10991797
ENSG00000277726,not protein coding,NA,NA,NA,NA,NA,NA
ENSG00000271895,not protein coding,NA,NA,NA,NA,NA,NA
ENSG00000226849,not protein coding,NA,,lncRNA,1,11068471,11073097
ENSG00000230337,not protein coding,NA,EXOSC10-AS1,lncRNA,1,11099430,11102105
ENSG00000225602,not protein coding,100873935,MTOR-AS1,lncRNA,1,11143898,11149537
ENSG00000253086,not protein coding,NA,RNU6-537P,snRNA,1,11152350,11152452
ENSG00000207451,not protein coding,NA,RNU6-291P,snRNA,1,11226254,11226360
ENSG00000238173,not protein coding,NA,RPL39P6,processed_pseudogene,1,11232963,11233112
ENSG00000238199,not protein coding,NA,UBE2V2P3,processed_pseudogene,1,11278616,11279351
ENSG00000284646,not protein coding,NA,,lncRNA,1,11311734,11319093
ENSG00000224338,not protein coding,NA,MTCYBP45,processed_pseudogene,1,11425257,11425821
ENSG00000204624,rare,57540,DISP3,protein_coding,1,11479155,11537551
ENSG00000285833,not protein coding,NA,,lncRNA,1,11500803,11502016
ENSG00000235643,not protein coding,101929181,LINC01647,lncRNA,1,11609468,11613358
ENSG00000284708,not protein coding,NA,,lncRNA,1,11623558,11643416
ENSG00000215910,rare,284498,C1orf167,protein_coding,1,11761787,11789585
ENSG00000177553,not protein coding,102724659,C1orf167-AS1,lncRNA,1,11777077,11779619
ENSG00000276470,not protein coding,NA,,misc_RNA,1,11843812,11843984
ENSG00000278852,not protein coding,NA,,misc_RNA,1,11845549,11845697
ENSG00000275915,not protein coding,NA,,misc_RNA,1,11847442,11847549
ENSG00000120937,rare,4879,NPPB,protein_coding,1,11857464,11858945
ENSG00000224904,not protein coding,NA,SBF1P2,processed_pseudogene,1,11877770,11880406
ENSG00000285646,not protein coding,NA,,lncRNA,1,11907940,11914298
ENSG00000199347,not protein coding,NA,RNU5E-1,snRNA,1,11908152,11908271
ENSG00000201801,not protein coding,NA,RNU5E-4P,snRNA,1,11909808,11909927
ENSG00000287384,not protein coding,NA,,lncRNA,1,11979533,11980127
ENSG00000270914,not protein coding,NA,,processed_pseudogene,1,12017216,12017308
ENSG00000202461,not protein coding,NA,,misc_RNA,1,12024012,12024124
ENSG00000276869,not protein coding,102466982,MIR6729,miRNA,1,12029158,12029222
ENSG00000243539,not protein coding,NA,RN7SL649P,misc_RNA,1,12036740,12037014
ENSG00000201135,not protein coding,NA,RNU6-777P,snRNA,1,12077881,12077984
ENSG00000227875,not protein coding,NA,RPL23AP89,processed_pseudogene,1,12080293,12080547
ENSG00000285604,not protein coding,NA,,lncRNA,1,12088441,12092264
ENSG00000283789,not protein coding,102465836,MIR7846,miRNA,1,12166943,12167038
ENSG00000263676,not protein coding,100616438,MIR4632,miRNA,1,12191713,12191773
ENSG00000225196,not protein coding,NA,RPL10P17,processed_pseudogene,1,12220794,12221109
ENSG00000252969,not protein coding,NA,,snoRNA,1,12221148,12221271
ENSG00000239149,not protein coding,677882,SNORA59A,snoRNA,1,12507246,12507397
ENSG00000239149,not protein coding,677885,SNORA59A,snoRNA,1,12507246,12507397
ENSG00000229484,not protein coding,NA,LINC02766,lncRNA,1,12525716,12530691
ENSG00000221340,not protein coding,NA,RNU6ATAC18P,snRNA,1,12569972,12570072
ENSG00000276830,not protein coding,102466722,MIR6730,miRNA,1,12578957,12579023
ENSG00000272482,not protein coding,NA,,lncRNA,1,12618900,12619980
ENSG00000204518,rare,343066,AADACL4,protein_coding,1,12644085,12667076
ENSG00000226166,not protein coding,NA,,processed_pseudogene,1,12692909,12693020
ENSG00000188984,rare,126767,AADACL3,protein_coding,1,12716110,12728760
ENSG00000157330,rare,93190,CFAP107,protein_coding,1,12746200,12763699
ENSG00000116726,rare,390999,PRAMEF12,protein_coding,1,12773738,12777906
ENSG00000116721,rare,65121,PRAMEF1,protein_coding,1,12791397,12796628
ENSG00000228338,not protein coding,NA,LINC01784,lncRNA,1,12822686,12823159
ENSG00000239810,rare,440560,PRAMEF11,protein_coding,1,12824605,12831410
ENSG00000231103,not protein coding,NA,PRAMEF30P,unprocessed_pseudogene,1,12838125,12841357
ENSG00000179172,rare,343069,HNRNPCL1,protein_coding,1,12847377,12848720
ENSG00000120952,rare,65122,PRAMEF2,protein_coding,1,12857086,12861909
ENSG00000243073,rare,400735,PRAMEF4,protein_coding,1,12879212,12886201
ENSG00000187545,rare,343071,PRAMEF10,protein_coding,1,12892896,12898270
ENSG00000204510,rare,441871,PRAMEF7,protein_coding,1,12916610,12920751
ENSG00000207434,not protein coding,NA,RNU6-1072P,snRNA,1,12922554,12922660
ENSG00000234064,not protein coding,NA,PRAMEF29P,unprocessed_pseudogene,1,12926162,12928253
ENSG00000232423,rare,440561,PRAMEF6,protein_coding,1,12938472,12947580
ENSG00000274178,not protein coding,NA,PRAMEF28P,unprocessed_pseudogene,1,13029339,13032130
ENSG00000274764,rare,101929983,PRAMEF27,protein_coding,1,13049476,13056575
ENSG00000277058,rare,649330,HNRNPCL3,protein_coding,1,13060769,13062878
ENSG00000229571,rare,441873,PRAMEF25,protein_coding,1,13068677,13077884
ENSG00000229571,rare,645359,PRAMEF25,protein_coding,1,13068677,13077884
ENSG00000277862,not protein coding,NA,PRAMEF34P,unprocessed_pseudogene,1,13095179,13097971
ENSG00000236179,not protein coding,NA,PRAMEF35P,unprocessed_pseudogene,1,13104403,13105689
ENSG00000229978,not protein coding,NA,PRAMEF36P,transcribed_unprocessed_pseudogene,1,13128818,13131615
ENSG00000233336,not protein coding,NA,,lncRNA,1,13146981,13147460
ENSG00000280267,rare,645359,PRAMEF26,protein_coding,1,13148905,13158116
ENSG00000179412,rare,101060301,HNRNPCL4,protein_coding,1,13163914,13165631
ENSG00000204505,rare,343070,PRAMEF9,protein_coding,1,13171848,13179459
ENSG00000279169,rare,400736,PRAMEF13,protein_coding,1,13196188,13201409
ENSG00000279804,rare,391003,PRAMEF18,protein_coding,1,13222695,13226154
ENSG00000250894,not protein coding,NA,PRAMEF31P,unprocessed_pseudogene,1,13245863,13248652
ENSG00000270601,rare,343068,PRAMEF5,protein_coding,1,13254198,13263435
ENSG00000231219,not protein coding,NA,PRAMEF32P,unprocessed_pseudogene,1,13273539,13275627
ENSG00000207511,not protein coding,NA,RNU6-771P,snRNA,1,13279125,13279231
ENSG00000182330,rare,391002,PRAMEF8,protein_coding,1,13281304,13285137
ENSG00000237700,rare,645382,PRAMEF33,protein_coding,1,13303539,13308907
ENSG00000204501,rare,653619,PRAMEF15,protein_coding,1,13315581,13322598
ENSG00000228229,not protein coding,NA,,lncRNA,1,13324039,13324518
ENSG00000204481,rare,729528,PRAMEF14,protein_coding,1,13341892,13347134
ENSG00000204480,rare,645414,PRAMEF19,protein_coding,1,13368431,13371947
