AM-MDM-Mtb,MDM-IFN,ensembl_gene_id,symbol
AM,IFNA8,ENSG00000102172,SMS
AM,IFNA8,ENSG00000102189,EEA1
AM,IFNA8,ENSG00000102524,TNFSF13B
AM,IFNA8,ENSG00000102871,TRADD
AM,IFNA8,ENSG00000103260,METRN
AM,IFNA8,ENSG00000103319,EEF2K
AM,IFNA8,ENSG00000103510,KAT8
AM,IFNA8,ENSG00000103852,TTC23
AM,IFNA8,ENSG00000104231,ZFAND1
AM,IFNA8,ENSG00000104497,SNX16
AM,IFNA8,ENSG00000104731,KLHDC4
AM,IFNA8,ENSG00000104897,SF3A2
AM,IFNA8,ENSG00000104976,SNAPC2
AM,IFNA8,ENSG00000104998,IL27RA
AM,IFNA8,ENSG00000105072,C19orf44
AM,IFNA8,ENSG00000105281,SLC1A5
AM,IFNA8,ENSG00000105559,PLEKHA4
AM,IFNA8,ENSG00000105829,BET1
AM,IFNA8,ENSG00000105856,HBP1
AM,IFNA8,ENSG00000105939,ZC3HAV1
AM,IFNA8,ENSG00000106052,TAX1BP1
AM,IFNA8,ENSG00000106605,BLVRA
AM,IFNA8,ENSG00000107021,TBC1D13
AM,IFNA8,ENSG00000107731,UNC5B
AM,IFNA8,ENSG00000107815,TWNK
AM,IFNA8,ENSG00000107862,GBF1
AM,IFNA8,ENSG00000107864,CPEB3
AM,IFNA8,ENSG00000108094,CUL2
AM,IFNA8,ENSG00000108175,ZMIZ1
AM,IFNA8,ENSG00000108604,SMARCD2
AM,IFNA8,ENSG00000108771,DHX58
AM,IFNA8,ENSG00000109065,NAT9
AM,IFNA8,ENSG00000109066,TMEM104
AM,IFNA8,ENSG00000109390,NDUFC1
AM,IFNA8,ENSG00000109971,HSPA8
AM,IFNA8,ENSG00000110324,IL10RA
AM,IFNA8,ENSG00000110400,NECTIN1
AM,IFNA8,ENSG00000110497,AMBRA1
AM,IFNA8,ENSG00000110848,CD69
AM,IFNA8,ENSG00000111224,PARP11
AM,IFNA8,ENSG00000111331,OAS3
AM,IFNA8,ENSG00000111335,OAS2
AM,IFNA8,ENSG00000111364,DDX55
AM,IFNA8,ENSG00000111405,ENDOU
AM,IFNA8,ENSG00000111727,HCFC2
AM,IFNA8,ENSG00000111846,GCNT2
AM,IFNA8,ENSG00000111912,NCOA7
AM,IFNA8,ENSG00000111961,SASH1
AM,IFNA8,ENSG00000112039,FANCE
AM,IFNA8,ENSG00000112062,MAPK14
AM,IFNA8,ENSG00000112308,C6orf62
AM,IFNA8,ENSG00000112320,SOBP
AM,IFNA8,ENSG00000112685,EXOC2
AM,IFNA8,ENSG00000112697,TMEM30A
AM,IFNA8,ENSG00000112893,MAN2A1
AM,IFNA8,ENSG00000113966,ARL6
AM,IFNA8,ENSG00000114166,KAT2B
AM,IFNA8,ENSG00000114416,FXR1
AM,IFNA8,ENSG00000114491,UMPS
AM,IFNA8,ENSG00000114529,C3orf52
AM,IFNA8,ENSG00000114698,PLSCR4
AM,IFNA8,ENSG00000115109,EPB41L5
AM,IFNA8,ENSG00000115415,STAT1
AM,IFNA8,ENSG00000115524,SF3B1
AM,IFNA8,ENSG00000116001,TIA1
AM,IFNA8,ENSG00000116337,AMPD2
AM,IFNA8,ENSG00000116353,MECR
AM,IFNA8,ENSG00000116668,SWT1
AM,IFNA8,ENSG00000116711,PLA2G4A
AM,IFNA8,ENSG00000116922,C1orf109
AM,IFNA8,ENSG00000117010,ZNF684
AM,IFNA8,ENSG00000117419,ERI3
AM,IFNA8,ENSG00000117676,RPS6KA1
AM,IFNA8,ENSG00000118495,PLAGL1
AM,IFNA8,ENSG00000118655,DCLRE1B
AM,IFNA8,ENSG00000118816,CCNI
AM,IFNA8,ENSG00000118946,PCDH17
AM,IFNA8,ENSG00000119314,PTBP3
AM,IFNA8,ENSG00000120210,INSL6
AM,IFNA8,ENSG00000120280,TASL
AM,IFNA8,ENSG00000120645,IQSEC3
AM,IFNA8,ENSG00000121274,TENT4B
AM,IFNA8,ENSG00000121858,TNFSF10
AM,IFNA8,ENSG00000121879,PIK3CA
AM,IFNA8,ENSG00000121900,TMEM54
AM,IFNA8,ENSG00000122085,MTERF4
AM,IFNA8,ENSG00000122557,HERPUD2
AM,IFNA8,ENSG00000122643,NT5C3A
AM,IFNA8,ENSG00000123609,NMI
AM,IFNA8,ENSG00000123975,CKS2
AM,IFNA8,ENSG00000124226,RNF114
AM,IFNA8,ENSG00000124256,ZBP1
AM,IFNA8,ENSG00000124357,NAGK
AM,IFNA8,ENSG00000124766,SOX4
AM,IFNA8,ENSG00000125107,CNOT1
AM,IFNA8,ENSG00000125249,RAP2A
AM,IFNA8,ENSG00000125454,SLC25A19
AM,IFNA8,ENSG00000125656,CLPP
AM,IFNA8,ENSG00000125676,THOC2
AM,IFNA8,ENSG00000125741,OPA3
AM,IFNA8,ENSG00000125779,PANK2
AM,IFNA8,ENSG00000125812,GZF1
AM,IFNA8,ENSG00000125826,RBCK1
AM,IFNA8,ENSG00000125834,STK35
AM,IFNA8,ENSG00000125885,MCM8
AM,IFNA8,ENSG00000125901,MRPS26
AM,IFNA8,ENSG00000125952,MAX
AM,IFNA8,ENSG00000126709,IFI6
AM,IFNA8,ENSG00000126821,SGPP1
AM,IFNA8,ENSG00000126947,ARMCX1
AM,IFNA8,ENSG00000127603,MACF1
AM,IFNA8,ENSG00000127837,AAMP
AM,IFNA8,ENSG00000128394,APOBEC3F
AM,IFNA8,ENSG00000128626,MRPS12
AM,IFNA8,ENSG00000129071,MBD4
AM,IFNA8,ENSG00000129351,ILF3
AM,IFNA8,ENSG00000129450,SIGLEC9
AM,IFNA8,ENSG00000129515,SNX6
AM,IFNA8,ENSG00000130222,GADD45G
AM,IFNA8,ENSG00000130303,BST2
AM,IFNA8,ENSG00000130787,HIP1R
AM,IFNA8,ENSG00000130810,PPAN
AM,IFNA8,ENSG00000130813,SHFL
AM,IFNA8,ENSG00000131759,RARA
AM,IFNA8,ENSG00000132256,TRIM5
AM,IFNA8,ENSG00000132274,TRIM22
AM,IFNA8,ENSG00000132357,CARD6
AM,IFNA8,ENSG00000132388,UBE2G1
AM,IFNA8,ENSG00000132530,XAF1
AM,IFNA8,ENSG00000132819,RBM38
AM,IFNA8,ENSG00000132952,USPL1
AM,IFNA8,ENSG00000133101,CCNA1
AM,IFNA8,ENSG00000133106,EPSTI1
AM,IFNA8,ENSG00000133794,BMAL1
AM,IFNA8,ENSG00000134363,FST
AM,IFNA8,ENSG00000134758,RNF138
AM,IFNA8,ENSG00000134769,DTNA
AM,IFNA8,ENSG00000134780,DAGLA
AM,IFNA8,ENSG00000134987,WDR36
AM,IFNA8,ENSG00000135763,URB2
AM,IFNA8,ENSG00000135837,CEP350
AM,IFNA8,ENSG00000135899,SP110
AM,IFNA8,ENSG00000136051,WASHC4
AM,IFNA8,ENSG00000136231,IGF2BP3
AM,IFNA8,ENSG00000136492,BRIP1
AM,IFNA8,ENSG00000136514,RTP4
AM,IFNA8,ENSG00000136870,ZNF189
AM,IFNA8,ENSG00000136874,STX17
AM,IFNA8,ENSG00000136938,ANP32B
AM,IFNA8,ENSG00000137054,POLR1E
AM,IFNA8,ENSG00000137198,GMPR
AM,IFNA8,ENSG00000137200,CMTR1
AM,IFNA8,ENSG00000137404,NRM
AM,IFNA8,ENSG00000137628,DDX60
AM,IFNA8,ENSG00000137713,PPP2R1B
AM,IFNA8,ENSG00000137834,SMAD6
AM,IFNA8,ENSG00000137959,IFI44L
AM,IFNA8,ENSG00000137965,IFI44
AM,IFNA8,ENSG00000138081,FBXO11
AM,IFNA8,ENSG00000138434,ITPRID2
AM,IFNA8,ENSG00000138442,WDR12
AM,IFNA8,ENSG00000138496,PARP9
AM,IFNA8,ENSG00000138642,HERC6
AM,IFNA8,ENSG00000138646,HERC5
AM,IFNA8,ENSG00000138688,BLTP1
AM,IFNA8,ENSG00000138785,INTS12
AM,IFNA8,ENSG00000139117,CPNE8
AM,IFNA8,ENSG00000139180,NDUFA9
AM,IFNA8,ENSG00000139350,NEDD1
AM,IFNA8,ENSG00000139687,RB1
AM,IFNA8,ENSG00000140577,CRTC3
AM,IFNA8,ENSG00000140854,KATNB1
AM,IFNA8,ENSG00000141314,RHBDL3
AM,IFNA8,ENSG00000141425,RPRD1A
AM,IFNA8,ENSG00000141506,PIK3R5
AM,IFNA8,ENSG00000141646,SMAD4
AM,IFNA8,ENSG00000141753,IGFBP4
AM,IFNA8,ENSG00000141837,CACNA1A
AM,IFNA8,ENSG00000141965,FEM1A
AM,IFNA8,ENSG00000142089,IFITM3
AM,IFNA8,ENSG00000142599,RERE
AM,IFNA8,ENSG00000142920,AZIN2
AM,IFNA8,ENSG00000143217,NECTIN4
AM,IFNA8,ENSG00000143324,XPR1
AM,IFNA8,ENSG00000143337,TOR1AIP1
AM,IFNA8,ENSG00000143373,ZNF687
AM,IFNA8,ENSG00000143498,TAF1A
AM,IFNA8,ENSG00000144035,NAT8
AM,IFNA8,ENSG00000144445,KANSL1L
AM,IFNA8,ENSG00000144659,SLC25A38
AM,IFNA8,ENSG00000145016,RUBCN
AM,IFNA8,ENSG00000145780,FEM1C
AM,IFNA8,ENSG00000146247,PHIP
AM,IFNA8,ENSG00000146373,RNF217
AM,IFNA8,ENSG00000146410,MTFR2
AM,IFNA8,ENSG00000146463,ZMYM4
AM,IFNA8,ENSG00000146576,INTS15
AM,IFNA8,ENSG00000146776,ATXN7L1
AM,IFNA8,ENSG00000146859,TMEM140
AM,IFNA8,ENSG00000147324,MFHAS1
AM,IFNA8,ENSG00000147548,NSD3
AM,IFNA8,ENSG00000147669,POLR2K
AM,IFNA8,ENSG00000147883,CDKN2B
AM,IFNA8,ENSG00000147912,FBXO10
AM,IFNA8,ENSG00000148296,SURF6
AM,IFNA8,ENSG00000148300,REXO4
AM,IFNA8,ENSG00000148308,GTF3C5
AM,IFNA8,ENSG00000148343,MIGA2
AM,IFNA8,ENSG00000148399,DPH7
AM,IFNA8,ENSG00000149016,TUT1
AM,IFNA8,ENSG00000149257,SERPINH1
AM,IFNA8,ENSG00000149313,AASDHPPT
AM,IFNA8,ENSG00000149792,MRPL49
AM,IFNA8,ENSG00000151287,TEX30
AM,IFNA8,ENSG00000151348,EXT2
AM,IFNA8,ENSG00000151364,KCTD14
AM,IFNA8,ENSG00000151414,NEK7
AM,IFNA8,ENSG00000151466,SCLT1
AM,IFNA8,ENSG00000151553,FHIP2A
AM,IFNA8,ENSG00000151611,MMAA
AM,IFNA8,ENSG00000152061,RABGAP1L
AM,IFNA8,ENSG00000152133,GPATCH11
AM,IFNA8,ENSG00000152558,TMEM123
AM,IFNA8,ENSG00000152601,MBNL1
AM,IFNA8,ENSG00000153443,UBALD1
AM,IFNA8,ENSG00000153558,FBXL2
AM,IFNA8,ENSG00000153721,CNKSR3
AM,IFNA8,ENSG00000154001,PPP2R5E
AM,IFNA8,ENSG00000154175,ABI3BP
AM,IFNA8,ENSG00000154305,MIA3
AM,IFNA8,ENSG00000154642,C21orf91
AM,IFNA8,ENSG00000154743,TSEN2
AM,IFNA8,ENSG00000154832,CXXC1
AM,IFNA8,ENSG00000155313,USP25
AM,IFNA8,ENSG00000155363,MOV10
AM,IFNA8,ENSG00000155744,HYCC2
AM,IFNA8,ENSG00000155926,SLA
AM,IFNA8,ENSG00000156239,N6AMT1
AM,IFNA8,ENSG00000156253,RWDD2B
AM,IFNA8,ENSG00000156500,PABIR3
AM,IFNA8,ENSG00000156587,UBE2L6
AM,IFNA8,ENSG00000157111,TMEM171
AM,IFNA8,ENSG00000157240,FZD1
AM,IFNA8,ENSG00000157601,MX1
AM,IFNA8,ENSG00000157657,ZNF618
AM,IFNA8,ENSG00000157778,PSMG3
AM,IFNA8,ENSG00000157933,SKI
AM,IFNA8,ENSG00000159314,ARHGAP27
AM,IFNA8,ENSG00000159479,MED8
AM,IFNA8,ENSG00000159873,CCDC117
AM,IFNA8,ENSG00000160208,RRP1B
AM,IFNA8,ENSG00000160256,SLX9
AM,IFNA8,ENSG00000160352,ZNF714
AM,IFNA8,ENSG00000160570,DEDD2
AM,IFNA8,ENSG00000160716,CHRNB2
AM,IFNA8,ENSG00000160753,RUSC1
AM,IFNA8,ENSG00000160959,LRRC14
AM,IFNA8,ENSG00000160963,COL26A1
AM,IFNA8,ENSG00000160999,SH2B2
AM,IFNA8,ENSG00000161509,GRIN2C
AM,IFNA8,ENSG00000161594,KLHL10
AM,IFNA8,ENSG00000161692,DBF4B
AM,IFNA8,ENSG00000161980,POLR3K
AM,IFNA8,ENSG00000162377,COA7
AM,IFNA8,ENSG00000162614,NEXN
AM,IFNA8,ENSG00000162616,DNAJB4
AM,IFNA8,ENSG00000162714,ZNF496
AM,IFNA8,ENSG00000162757,C1orf74
AM,IFNA8,ENSG00000163528,CHCHD4
AM,IFNA8,ENSG00000163565,IFI16
AM,IFNA8,ENSG00000163568,AIM2
AM,IFNA8,ENSG00000163644,PPM1K
AM,IFNA8,ENSG00000163666,HESX1
AM,IFNA8,ENSG00000163811,WDR43
AM,IFNA8,ENSG00000163872,YEATS2
AM,IFNA8,ENSG00000163933,RFT1
AM,IFNA8,ENSG00000164024,METAP1
AM,IFNA8,ENSG00000164077,MON1A
AM,IFNA8,ENSG00000164169,PRMT9
AM,IFNA8,ENSG00000164211,STARD4
AM,IFNA8,ENSG00000164305,CASP3
AM,IFNA8,ENSG00000164465,DCBLD1
AM,IFNA8,ENSG00000165060,FXN
AM,IFNA8,ENSG00000165138,ANKS6
AM,IFNA8,ENSG00000165185,KIAA1958
AM,IFNA8,ENSG00000165506,DNAAF2
AM,IFNA8,ENSG00000165527,ARF6
AM,IFNA8,ENSG00000165684,SNAPC4
AM,IFNA8,ENSG00000165832,TRUB1
AM,IFNA8,ENSG00000166669,ATF7IP2
AM,IFNA8,ENSG00000166881,NEMP1
AM,IFNA8,ENSG00000166971,AKTIP
AM,IFNA8,ENSG00000167371,PRRT2
AM,IFNA8,ENSG00000167447,SMG8
AM,IFNA8,ENSG00000167657,DAPK3
AM,IFNA8,ENSG00000168026,TTC21A
AM,IFNA8,ENSG00000168056,LTBP3
AM,IFNA8,ENSG00000168096,ANKS3
AM,IFNA8,ENSG00000168395,ING5
AM,IFNA8,ENSG00000168661,ZNF30
AM,IFNA8,ENSG00000168803,ADAL
AM,IFNA8,ENSG00000168811,IL12A
AM,IFNA8,ENSG00000168994,PXDC1
AM,IFNA8,ENSG00000169221,TBC1D10B
AM,IFNA8,ENSG00000169248,CXCL11
AM,IFNA8,ENSG00000169972,PUSL1
AM,IFNA8,ENSG00000170222,ADPRM
AM,IFNA8,ENSG00000170234,PWWP2A
AM,IFNA8,ENSG00000170581,STAT2
AM,IFNA8,ENSG00000170775,GPR37
AM,IFNA8,ENSG00000170855,TRIAP1
AM,IFNA8,ENSG00000171103,TRMT61B
AM,IFNA8,ENSG00000171345,KRT19
AM,IFNA8,ENSG00000171488,LRRC8C
AM,IFNA8,ENSG00000171490,RSL1D1
AM,IFNA8,ENSG00000171943,SRGAP2C
AM,IFNA8,ENSG00000172840,PDP2
AM,IFNA8,ENSG00000173011,TADA2B
AM,IFNA8,ENSG00000173013,CCDC96
AM,IFNA8,ENSG00000173153,ESRRA
AM,IFNA8,ENSG00000173214,MFSD4B
AM,IFNA8,ENSG00000173517,PEAK1
AM,IFNA8,ENSG00000173598,NUDT4
AM,IFNA8,ENSG00000173621,LRFN4
AM,IFNA8,ENSG00000173681,BCLAF3
AM,IFNA8,ENSG00000173786,CNP
AM,IFNA8,ENSG00000173821,RNF213
AM,IFNA8,ENSG00000174007,CEP19
AM,IFNA8,ENSG00000174307,PHLDA3
AM,IFNA8,ENSG00000174446,SNAPC5
AM,IFNA8,ENSG00000175073,VCPIP1
AM,IFNA8,ENSG00000175087,PDIK1L
AM,IFNA8,ENSG00000175104,TRAF6
AM,IFNA8,ENSG00000175294,CATSPER1
AM,IFNA8,ENSG00000175482,POLD4
AM,IFNA8,ENSG00000175489,LRRC25
AM,IFNA8,ENSG00000175895,PLEKHF2
AM,IFNA8,ENSG00000176390,CRLF3
AM,IFNA8,ENSG00000176406,RIMS2
AM,IFNA8,ENSG00000176853,FAM91A1
AM,IFNA8,ENSG00000176973,FAM89B
AM,IFNA8,ENSG00000177082,WDR73
AM,IFNA8,ENSG00000177301,KCNA2
AM,IFNA8,ENSG00000177303,CASKIN2
AM,IFNA8,ENSG00000177707,NECTIN3
AM,IFNA8,ENSG00000177721,ANXA2R
AM,IFNA8,ENSG00000177971,IMP3
AM,IFNA8,ENSG00000178295,GEN1
AM,IFNA8,ENSG00000178297,TMPRSS9
AM,IFNA8,ENSG00000178338,ZNF354B
AM,IFNA8,ENSG00000178397,FAM220A
AM,IFNA8,ENSG00000178409,BEND3
AM,IFNA8,ENSG00000178996,SNX18
AM,IFNA8,ENSG00000179021,C3orf38
AM,IFNA8,ENSG00000179041,RRS1
AM,IFNA8,ENSG00000179115,FARSA
AM,IFNA8,ENSG00000179151,EDC3
AM,IFNA8,ENSG00000179165,PXT1
AM,IFNA8,ENSG00000179409,GEMIN4
AM,IFNA8,ENSG00000179588,ZFPM1
AM,IFNA8,ENSG00000180185,FAHD1
AM,IFNA8,ENSG00000180304,OAZ2
AM,IFNA8,ENSG00000180425,C11orf71
AM,IFNA8,ENSG00000180447,GAS1
AM,IFNA8,ENSG00000181027,FKRP
AM,IFNA8,ENSG00000181350,LRRC75A
AM,IFNA8,ENSG00000181610,MRPS23
AM,IFNA8,ENSG00000181754,AMIGO1
AM,IFNA8,ENSG00000182149,IST1
AM,IFNA8,ENSG00000182768,NGRN
AM,IFNA8,ENSG00000183486,MX2
AM,IFNA8,ENSG00000183785,TUBA8
AM,IFNA8,ENSG00000184182,UBE2F
AM,IFNA8,ENSG00000184384,MAML2
AM,IFNA8,ENSG00000184402,SS18L1
AM,IFNA8,ENSG00000184675,AMER1
AM,IFNA8,ENSG00000184898,RBM43
AM,IFNA8,ENSG00000185404,SP140L
AM,IFNA8,ENSG00000185561,TLCD2
AM,IFNA8,ENSG00000185722,ANKFY1
AM,IFNA8,ENSG00000185745,IFIT1
AM,IFNA8,ENSG00000185880,TRIM69
AM,IFNA8,ENSG00000186063,AIDA
AM,IFNA8,ENSG00000186141,POLR3C
AM,IFNA8,ENSG00000186230,ZNF749
AM,IFNA8,ENSG00000187051,RPS19BP1
AM,IFNA8,ENSG00000187257,RSBN1L
AM,IFNA8,ENSG00000187260,WDR86
AM,IFNA8,ENSG00000187601,MAGEH1
AM,IFNA8,ENSG00000188157,AGRN
AM,IFNA8,ENSG00000188158,NHS
AM,IFNA8,ENSG00000188282,RUFY4
AM,IFNA8,ENSG00000188596,CFAP54
AM,IFNA8,ENSG00000189046,ALKBH2
AM,IFNA8,ENSG00000189420,ZFP92
AM,IFNA8,ENSG00000196092,PAX5
AM,IFNA8,ENSG00000196110,ZNF699
AM,IFNA8,ENSG00000196141,SPATS2L
AM,IFNA8,ENSG00000196247,ZNF107
AM,IFNA8,ENSG00000196358,NTNG2
AM,IFNA8,ENSG00000196369,SRGAP2B
AM,IFNA8,ENSG00000196550,FAM72A
AM,IFNA8,ENSG00000196684,HSH2D
AM,IFNA8,ENSG00000196715,VKORC1L1
AM,IFNA8,ENSG00000196778,OR52K1
AM,IFNA8,ENSG00000196814,MVB12B
AM,IFNA8,ENSG00000196911,KPNA5
AM,IFNA8,ENSG00000197119,SLC25A29
AM,IFNA8,ENSG00000198010,DLGAP2
AM,IFNA8,ENSG00000198060,MARCHF5
AM,IFNA8,ENSG00000198087,CD2AP
AM,IFNA8,ENSG00000198146,ZNF770
AM,IFNA8,ENSG00000198162,MAN1A2
AM,IFNA8,ENSG00000198231,DDX42
AM,IFNA8,ENSG00000198680,TUSC1
AM,IFNA8,ENSG00000198771,RCSD1
AM,IFNA8,ENSG00000198792,TMEM184B
AM,IFNA8,ENSG00000198898,CAPZA2
AM,IFNA8,ENSG00000198964,SGMS1
AM,IFNA8,ENSG00000204103,MAFB
AM,IFNA8,ENSG00000204138,PHACTR4
AM,IFNA8,ENSG00000204217,BMPR2
AM,IFNA8,ENSG00000204237,OXLD1
AM,IFNA8,ENSG00000204264,PSMB8
AM,IFNA8,ENSG00000204516,MICB
AM,IFNA8,ENSG00000204520,MICA
AM,IFNA8,ENSG00000204568,MRPS18B
AM,IFNA8,ENSG00000204592,HLA-E
AM,IFNA8,ENSG00000204616,TRIM31
AM,IFNA8,ENSG00000204872,NAT8B
AM,IFNA8,ENSG00000205045,SLFN12L
AM,IFNA8,ENSG00000205413,SAMD9
AM,IFNA8,ENSG00000205730,ITPRIPL2
AM,IFNA8,ENSG00000211460,TSN
AM,IFNA8,ENSG00000213064,SFT2D2
AM,IFNA8,ENSG00000213512,GBP7
AM,IFNA8,ENSG00000213533,STIMATE
AM,IFNA8,ENSG00000213588,ZBTB9
AM,IFNA8,ENSG00000213923,CSNK1E
AM,IFNA8,ENSG00000214160,ALG3
AM,IFNA8,ENSG00000214226,C17orf67
AM,IFNA8,ENSG00000214872,SMTNL1
AM,IFNA8,ENSG00000215041,NEURL4
AM,IFNA8,ENSG00000228300,FAM174C
AM,IFNA8,ENSG00000229474,PATL2
AM,IFNA8,ENSG00000235173,HGH1
AM,IFNA8,ENSG00000237765,FAM200B
AM,IFNA8,ENSG00000237988,OR2I1P
AM,IFNA8,ENSG00000239713,APOBEC3G
AM,IFNA8,ENSG00000240065,PSMB9
AM,IFNA8,ENSG00000240857,RDH14
AM,IFNA8,ENSG00000243414,TICAM2
AM,IFNA8,ENSG00000243649,CFB
AM,IFNA8,ENSG00000243696,
AM,IFNA8,ENSG00000248333,CDK11B
AM,IFNA8,ENSG00000254858,MPV17L2
AM,IFNA8,ENSG00000255690,TRIL
AM,IFNA8,ENSG00000255833,TIFAB
AM,IFNA8,ENSG00000256537,SMIM10L1
AM,IFNA8,ENSG00000259330,INAFM2
AM,IFNA8,ENSG00000269720,CCDC194
AM,IFNA8,ENSG00000272573,MUSTN1
AM,IFNA8,ENSG00000275004,ZNF280B
AM,IFNA8,ENSG00000277363,SRCIN1
AM,IFNA8,ENSG00000278619,MRM1
AM,IFNA8,ENSG00000284024,MSANTD7
AM,IFNb,ENSG00000001629,ANKIB1
AM,IFNb,ENSG00000003400,CASP10
AM,IFNb,ENSG00000004399,PLXND1
AM,IFNb,ENSG00000005302,MSL3
AM,IFNb,ENSG00000008256,CYTH3
AM,IFNb,ENSG00000010030,ETV7
AM,IFNb,ENSG00000010165,METTL13
AM,IFNb,ENSG00000013374,NUB1
AM,IFNb,ENSG00000016391,CHDH
AM,IFNb,ENSG00000020633,RUNX3
AM,IFNb,ENSG00000034677,RNF19A
AM,IFNb,ENSG00000035720,STAP1
AM,IFNb,ENSG00000044459,CNTLN
AM,IFNb,ENSG00000047932,GOPC
AM,IFNb,ENSG00000048649,RSF1
AM,IFNb,ENSG00000054598,FOXC1
AM,IFNb,ENSG00000055332,EIF2AK2
AM,IFNb,ENSG00000058804,NDC1
AM,IFNb,ENSG00000059758,CDK17
AM,IFNb,ENSG00000060642,PIGV
AM,IFNb,ENSG00000064012,CASP8
AM,IFNb,ENSG00000065060,BLTP3A
AM,IFNb,ENSG00000067064,IDI1
AM,IFNb,ENSG00000067066,SP100
AM,IFNb,ENSG00000067167,TRAM1
AM,IFNb,ENSG00000067221,STOML1
AM,IFNb,ENSG00000067248,DHX29
AM,IFNb,ENSG00000068001,HYAL2
AM,IFNb,ENSG00000068079,IFI35
